Date;Open;High;Low;Close;Adj Close;Volume
2019-08-27;2,92E+16;2,98E+16;2,80E+16;2,89E+15;2,89E+15;90990000
2019-08-28;2,89E+15;3,12E+15;2,88E+15;3,10E+16;3,10E+16;77710000
2019-08-29;3,13E+15;3,23E+16;3,07E+15;3,22E+16;3,22E+16;51755000
2019-08-30;325;3,38E+15;3,17E+15;3,38E+15;3,38E+15;62505000
2019-09-02;3,34E+16;3,42E+16;3,32E+15;3,33E+16;3,33E+16;35180000
2019-09-03;3,35E+16;3,39E+16;3,28E+16;3,37E+15;3,37E+15;39045000
2019-09-04;3,40E+16;3,45E+15;3,37E+15;3,38E+15;3,38E+15;60090000
2019-09-05;3,41E+16;3,43E+15;3,35E+16;3,37E+15;3,37E+15;32170000
2019-09-06;3,37E+15;3,42E+16;3,34E+16;3,40E+16;3,40E+16;33350000
2019-09-09;3,42E+16;3,44E+15;3,35E+16;3,41E+16;3,41E+16;40490000
2019-09-10;3,41E+16;3,44E+15;3,36E+15;3,39E+15;3,39E+15;33555000
2019-09-11;3,41E+16;3,50E+15;3,39E+15;3,43E+15;3,43E+15;78640000
2019-09-12;3,43E+15;3,46E+16;3,38E+15;3,42E+16;3,42E+16;62070000
2019-09-13;3,43E+15;3,45E+16;3,35E+16;3,41E+16;3,41E+16;45445000
2019-09-16;3,56E+15;3,59E+16;3,46E+16;3,50E+15;3,50E+15;129705000
2019-09-17;3,48E+16;3,50E+15;3,38E+15;3,42E+16;3,42E+16;60010000
2019-09-18;3,42E+16;3,56E+15;3,40E+16;3,52E+16;3,52E+16;47285000
2019-09-19;3,55E+15;3,70E+16;3,55E+15;3,62E+15;3,62E+15;83890000
2019-09-20;3,65E+16;3,66E+16;3,56E+15;3,65E+16;3,65E+16;46380000
2019-09-23;3,64E+15;3,70E+15;3,59E+16;3,65E+16;3,65E+16;31300000
2019-09-24;3,66E+16;3,67E+16;3,59E+16;3,62E+15;3,62E+15;23865000
2019-09-25;3,58E+16;3,64E+15;3,50E+15;3,62E+15;3,62E+15;39280000
2019-09-26;3,61E+16;3,61E+16;3,49E+16;3,50E+15;3,50E+15;79985000
2019-09-27;3,48E+16;3,50E+15;3,39E+15;3,40E+16;3,40E+16;71210000
2019-09-30;3,40E+16;3,48E+16;3,32E+15;3,48E+16;3,48E+16;49105000
2019-10-01;3,51E+15;3,52E+16;3,40E+16;3,41E+16;3,41E+16;65425000
2019-10-02;3,41E+16;3,41E+16;3,33E+16;3,38E+15;3,38E+15;41570000
2019-10-03;3,38E+15;3,40E+16;3,30E+15;3,38E+15;3,38E+15;31615000
2019-10-04;3,39E+15;3,44E+15;3,36E+15;3,42E+16;3,42E+16;25285000
2019-10-07;3,41E+16;3,43E+15;3,29E+16;3,33E+16;3,33E+16;60750000
2019-10-08;3,33E+16;3,34E+16;3,20E+15;3,20E+15;3,20E+15;56885000
2019-10-09;3,24E+15;3,25E+15;3,17E+15;3,23E+16;3,23E+16;38070000
2019-10-10;3,20E+15;3,30E+16;3,20E+15;3,24E+14;3,24E+14;32980000
2019-10-11;3,27E+16;3,44E+15;3,27E+16;3,40E+16;3,40E+16;61485000
